imagem,lado,contato,índice contato,nº pontos,índices inicial-final,contíguo?,y_min-y_max,método,fallback?,slope,ângulo tangente
30_geo.png,esq,"[210.968945, 387.000000]",,318,242 -> 559,sim,"[186.000000, 387.000000]",polyfit,não,0.557764,29.151204
30_geo.png,dir,"[454.349399, 387.000000]",,318,560 -> 877,sim,"[186.000000, 387.000000]",polyfit,não,-0.490226,26.115275
50_geo.png,esq,"[120.283812, 377.000000]",,337,221 -> 557,sim,"[200.000000, 377.000000]",polyfit,não,1.955645,62.917513
50_geo.png,dir,"[438.798268, 377.000000]",,337,558 -> 894,sim,"[200.000000, 377.000000]",polyfit,não,-0.333333,18.434949
75_geo.png,esq,"[123.023157, 304.000000]",,332,181 -> 512,sim,"[169.000000, 304.000000]",polyfit,não,0.399378,21.770657
75_geo.png,dir,"[510.159703, 304.000000]",,333,513 -> 845,sim,"[169.000000, 304.000000]",círculo,não,3.807086,75.282688
100_geo.png,esq,"[90.621900, 257.000000]",,387,195 -> 581,não,"[139.000000, 257.000000]",círculo,não,-5.996243,99.468144
100_geo.png,dir,"[612.331430, 257.000000]",,387,582 -> 968,não,"[139.000000, 257.000000]",círculo,não,-5.918693,99.589910
130_geo.png,esq,"[284.000000, 221.000000]",526,381,249 -> 629,sim,"[221.000000, 221.000000]",círculo,não,-1.416673,125.217468
130_geo.png,dir,"[491.775732, 221.000000]",,221,630 -> 850,sim,"[133.000000, 221.000000]",círculo,não,1.072029,46.990947
