ordem_mantida,ordem_entrada,indice_local,indice_contorno,x,y,dist_baseline,dist_baseline_ajustada
0,0,0,630,388.0,221.0,0.0,1.6399999999999864
1,1,1,631,389.0,221.0,0.0,1.6399999999999864
2,2,2,632,390.0,221.0,0.0,1.6399999999999864
3,3,3,633,391.0,221.0,0.0,1.6399999999999864
4,4,4,634,392.0,221.0,0.0,1.6399999999999864
5,5,5,635,393.0,221.0,0.0,1.6399999999999864
6,6,6,636,394.0,221.0,0.0,1.6399999999999864
7,7,7,637,395.0,221.0,0.0,1.6399999999999864
8,8,8,638,396.0,221.0,0.0,1.6399999999999864
9,9,9,639,397.0,221.0,0.0,1.6399999999999864
10,10,10,640,398.0,221.0,0.0,1.6399999999999864
11,11,11,641,399.0,221.0,0.0,1.6399999999999864
