ordem_mantida,ordem_entrada,indice_local,indice_contorno,x,y,dist_baseline,dist_baseline_ajustada
0,219,219,461,234.0,387.0,0.0,3.740000000000009
1,220,220,462,235.0,387.0,0.0,3.740000000000009
2,221,221,463,236.0,387.0,0.0,3.740000000000009
3,222,222,464,237.0,387.0,0.0,3.740000000000009
4,234,234,476,249.0,387.0,0.0,3.740000000000009
5,233,233,475,248.0,387.0,0.0,3.740000000000009
6,232,232,474,247.0,387.0,0.0,3.740000000000009
7,231,231,473,246.0,387.0,0.0,3.740000000000009
8,226,226,468,241.0,387.0,0.0,3.740000000000009
9,225,225,467,240.0,387.0,0.0,3.740000000000009
10,224,224,466,239.0,387.0,0.0,3.740000000000009
11,223,223,465,238.0,387.0,0.0,3.740000000000009
