ordem_entrada,indice_local,indice_contorno,x,y,dist_baseline,dist_baseline_ajustada
0,0,221,83.0,200.0,176.0,179.29000000000002
1,1,222,83.0,201.0,175.0,178.29000000000002
2,2,223,83.0,202.0,174.0,177.29000000000002
3,3,224,82.0,203.0,173.0,176.29000000000002
4,4,225,82.0,204.0,172.0,175.29000000000002
5,5,226,82.0,205.0,171.0,174.29000000000002
6,6,227,82.0,206.0,170.0,173.29000000000002
7,7,228,82.0,207.0,169.0,172.29000000000002
8,8,229,81.0,208.0,168.0,171.29000000000002
9,9,230,81.0,209.0,167.0,170.29000000000002
10,10,231,81.0,210.0,166.0,169.29000000000002
11,11,232,81.0,211.0,165.0,168.29000000000002
12,12,233,81.0,212.0,164.0,167.29000000000002
13,13,234,80.0,213.0,163.0,166.29000000000002
14,14,235,80.0,214.0,162.0,165.29000000000002
15,15,236,80.0,215.0,161.0,164.29000000000002
16,16,237,80.0,216.0,160.0,163.29000000000002
17,17,238,80.0,217.0,159.0,162.29000000000002
18,18,239,79.0,218.0,158.0,161.29000000000002
19,19,240,79.0,219.0,157.0,160.29000000000002
20,20,241,79.0,220.0,156.0,159.29000000000002
21,21,242,79.0,221.0,155.0,158.29000000000002
22,22,243,79.0,222.0,154.0,157.29000000000002
23,23,244,79.0,223.0,153.0,156.29000000000002
24,24,245,79.0,224.0,152.0,155.29000000000002
25,25,246,79.0,225.0,151.0,154.29000000000002
26,26,247,78.0,226.0,150.0,153.29000000000002
27,27,248,78.0,227.0,149.0,152.29000000000002
28,28,249,78.0,228.0,148.0,151.29000000000002
29,29,250,78.0,229.0,147.0,150.29000000000002
30,30,251,78.0,230.0,146.0,149.29000000000002
31,31,252,78.0,231.0,145.0,148.29000000000002
32,32,253,78.0,232.0,144.0,147.29000000000002
33,33,254,78.0,233.0,143.0,146.29000000000002
34,34,255,77.0,234.0,142.0,145.29000000000002
35,35,256,77.0,235.0,141.0,144.29000000000002
36,36,257,77.0,236.0,140.0,143.29000000000002
37,37,258,77.0,237.0,139.0,142.29000000000002
38,38,259,77.0,238.0,138.0,141.29000000000002
39,39,260,77.0,239.0,137.0,140.29000000000002
40,40,261,77.0,240.0,136.0,139.29000000000002
41,41,262,77.0,241.0,135.0,138.29000000000002
42,42,263,77.0,242.0,134.0,137.29000000000002
43,43,264,77.0,243.0,133.0,136.29000000000002
44,44,265,77.0,244.0,132.0,135.29000000000002
45,45,266,77.0,245.0,131.0,134.29000000000002
46,46,267,77.0,246.0,130.0,133.29000000000002
47,47,268,77.0,247.0,129.0,132.29000000000002
48,48,269,77.0,248.0,128.0,131.29000000000002
49,49,270,77.0,249.0,127.0,130.29000000000002
50,50,271,77.0,250.0,126.0,129.29000000000002
51,51,272,77.0,251.0,125.0,128.29000000000002
52,52,273,77.0,252.0,124.0,127.29000000000002
53,53,274,77.0,253.0,123.0,126.29000000000002
54,54,275,77.0,254.0,122.0,125.29000000000002
55,55,276,77.0,255.0,121.0,124.29000000000002
56,56,277,77.0,256.0,120.0,123.29000000000002
57,57,278,77.0,257.0,119.0,122.29000000000002
58,58,279,77.0,258.0,118.0,121.29000000000002
59,59,280,77.0,259.0,117.0,120.29000000000002
60,60,281,77.0,260.0,116.0,119.29000000000002
61,61,282,77.0,261.0,115.0,118.29000000000002
62,62,283,77.0,262.0,114.0,117.29000000000002
63,63,284,77.0,263.0,113.0,116.29000000000002
64,64,285,77.0,264.0,112.0,115.29000000000002
65,65,286,77.0,265.0,111.0,114.29000000000002
66,66,287,78.0,266.0,110.0,113.29000000000002
67,67,288,78.0,267.0,109.0,112.29000000000002
68,68,289,78.0,268.0,108.0,111.29000000000002
69,69,290,78.0,269.0,107.0,110.29000000000002
70,70,291,78.0,270.0,106.0,109.29000000000002
71,71,292,78.0,271.0,105.0,108.29000000000002
72,72,293,78.0,272.0,104.0,107.29000000000002
73,73,294,78.0,273.0,103.0,106.29000000000002
74,74,295,78.0,274.0,102.0,105.29000000000002
75,75,296,79.0,275.0,101.0,104.29000000000002
76,76,297,79.0,276.0,100.0,103.29000000000002
77,77,298,79.0,277.0,99.0,102.29000000000002
78,78,299,79.0,278.0,98.0,101.29000000000002
79,79,300,79.0,279.0,97.0,100.29000000000002
80,80,301,79.0,280.0,96.0,99.29000000000002
81,81,302,79.0,281.0,95.0,98.29000000000002
82,82,303,79.0,282.0,94.0,97.29000000000002
83,83,304,80.0,283.0,93.0,96.29000000000002
84,84,305,80.0,284.0,92.0,95.29000000000002
85,85,306,80.0,285.0,91.0,94.29000000000002
86,86,307,80.0,286.0,90.0,93.29000000000002
87,87,308,80.0,287.0,89.0,92.29000000000002
88,88,309,81.0,288.0,88.0,91.29000000000002
89,89,310,81.0,289.0,87.0,90.29000000000002
90,90,311,81.0,290.0,86.0,89.29000000000002
91,91,312,81.0,291.0,85.0,88.29000000000002
92,92,313,82.0,292.0,84.0,87.29000000000002
93,93,314,82.0,293.0,83.0,86.29000000000002
94,94,315,82.0,294.0,82.0,85.29000000000002
95,95,316,82.0,295.0,81.0,84.29000000000002
96,96,317,82.0,296.0,80.0,83.29000000000002
97,97,318,83.0,297.0,79.0,82.29000000000002
98,98,319,83.0,298.0,78.0,81.29000000000002
99,99,320,83.0,299.0,77.0,80.29000000000002
100,100,321,83.0,300.0,76.0,79.29000000000002
101,101,322,84.0,301.0,75.0,78.29000000000002
102,102,323,84.0,302.0,74.0,77.29000000000002
103,103,324,84.0,303.0,73.0,76.29000000000002
104,104,325,84.0,304.0,72.0,75.29000000000002
105,105,326,85.0,305.0,71.0,74.29000000000002
106,106,327,85.0,306.0,70.0,73.29000000000002
107,107,328,85.0,307.0,69.0,72.29000000000002
108,108,329,86.0,308.0,68.0,71.29000000000002
109,109,330,86.0,309.0,67.0,70.29000000000002
110,110,331,86.0,310.0,66.0,69.29000000000002
111,111,332,86.0,311.0,65.0,68.29000000000002
112,112,333,87.0,312.0,64.0,67.29000000000002
113,113,334,87.0,313.0,63.0,66.29000000000002
114,114,335,87.0,314.0,62.0,65.29000000000002
115,115,336,88.0,315.0,61.0,64.29000000000002
116,116,337,88.0,316.0,60.0,63.29000000000002
117,117,338,88.0,317.0,59.0,62.29000000000002
118,118,339,89.0,318.0,58.0,61.29000000000002
119,119,340,89.0,319.0,57.0,60.29000000000002
120,120,341,89.0,320.0,56.0,59.29000000000002
121,121,342,90.0,321.0,55.0,58.29000000000002
122,122,343,90.0,322.0,54.0,57.29000000000002
123,123,344,91.0,323.0,53.0,56.29000000000002
124,124,345,91.0,324.0,52.0,55.29000000000002
125,125,346,91.0,325.0,51.0,54.29000000000002
126,126,347,92.0,326.0,50.0,53.29000000000002
127,127,348,92.0,327.0,49.0,52.29000000000002
128,128,349,92.0,328.0,48.0,51.29000000000002
129,129,350,93.0,329.0,47.0,50.29000000000002
130,130,351,93.0,330.0,46.0,49.29000000000002
131,131,352,94.0,331.0,45.0,48.29000000000002
132,132,353,94.0,332.0,44.0,47.29000000000002
133,133,354,95.0,333.0,43.0,46.29000000000002
134,134,355,95.0,334.0,42.0,45.29000000000002
135,135,356,96.0,335.0,41.0,44.29000000000002
136,136,357,96.0,336.0,40.0,43.29000000000002
137,137,358,97.0,337.0,39.0,42.29000000000002
138,138,359,97.0,338.0,38.0,41.29000000000002
139,139,360,98.0,339.0,37.0,40.29000000000002
140,140,361,98.0,340.0,36.0,39.29000000000002
141,141,362,99.0,341.0,35.0,38.29000000000002
142,142,363,99.0,342.0,34.0,37.29000000000002
143,143,364,100.0,343.0,33.0,36.29000000000002
144,144,365,100.0,344.0,32.0,35.29000000000002
145,145,366,101.0,345.0,31.0,34.29000000000002
146,146,367,101.0,346.0,30.0,33.29000000000002
147,147,368,102.0,347.0,29.0,32.29000000000002
148,148,369,102.0,348.0,28.0,31.29000000000002
149,149,370,103.0,349.0,27.0,30.29000000000002
150,150,371,103.0,350.0,26.0,29.29000000000002
151,151,372,104.0,351.0,25.0,28.29000000000002
152,152,373,105.0,352.0,24.0,27.29000000000002
153,153,374,105.0,353.0,23.0,26.29000000000002
154,154,375,106.0,354.0,22.0,25.29000000000002
155,155,376,107.0,355.0,21.0,24.29000000000002
156,156,377,107.0,356.0,20.0,23.29000000000002
157,157,378,108.0,357.0,19.0,22.29000000000002
158,158,379,108.0,358.0,18.0,21.29000000000002
159,159,380,109.0,359.0,17.0,20.29000000000002
160,160,381,110.0,360.0,16.0,19.29000000000002
161,161,382,110.0,361.0,15.0,18.29000000000002
162,162,383,111.0,362.0,14.0,17.29000000000002
163,163,384,112.0,363.0,13.0,16.29000000000002
164,164,385,112.0,364.0,12.0,15.29000000000002
165,165,386,113.0,365.0,11.0,14.29000000000002
166,166,387,114.0,366.0,10.0,13.29000000000002
167,167,388,114.0,367.0,9.0,12.29000000000002
168,168,389,115.0,368.0,8.0,11.29000000000002
169,169,390,116.0,369.0,7.0,10.29000000000002
170,170,391,117.0,370.0,6.0,9.29000000000002
171,171,392,117.0,371.0,5.0,8.29000000000002
172,172,393,118.0,372.0,4.0,7.2900000000000205
173,173,394,119.0,373.0,3.0,6.2900000000000205
174,174,395,120.0,374.0,2.0,5.2900000000000205
175,175,396,120.0,375.0,1.0,4.2900000000000205
176,176,397,120.0,376.0,0.0,3.2900000000000205
177,177,398,121.0,376.0,0.0,3.2900000000000205
178,178,399,122.0,376.0,0.0,3.2900000000000205
179,179,400,123.0,376.0,0.0,3.2900000000000205
180,180,401,124.0,376.0,0.0,3.2900000000000205
181,181,402,125.0,376.0,0.0,3.2900000000000205
182,182,403,126.0,376.0,0.0,3.2900000000000205
183,183,404,127.0,376.0,0.0,3.2900000000000205
184,184,405,128.0,376.0,0.0,3.2900000000000205
185,185,406,129.0,376.0,0.0,3.2900000000000205
186,186,407,130.0,376.0,0.0,3.2900000000000205
187,187,408,131.0,376.0,0.0,3.2900000000000205
188,188,409,132.0,376.0,0.0,3.2900000000000205
189,189,410,133.0,376.0,0.0,3.2900000000000205
190,190,411,134.0,376.0,0.0,3.2900000000000205
191,191,412,135.0,376.0,0.0,3.2900000000000205
192,192,413,136.0,376.0,0.0,3.2900000000000205
193,193,414,137.0,376.0,0.0,3.2900000000000205
194,194,415,138.0,376.0,0.0,3.2900000000000205
195,195,416,139.0,376.0,0.0,3.2900000000000205
196,196,417,140.0,376.0,0.0,3.2900000000000205
197,197,418,141.0,376.0,0.0,3.2900000000000205
198,198,419,142.0,376.0,0.0,3.2900000000000205
199,199,420,143.0,376.0,0.0,3.2900000000000205
200,200,421,144.0,376.0,0.0,3.2900000000000205
201,201,422,145.0,376.0,0.0,3.2900000000000205
202,202,423,146.0,376.0,0.0,3.2900000000000205
203,203,424,147.0,376.0,0.0,3.2900000000000205
204,204,425,148.0,376.0,0.0,3.2900000000000205
205,205,426,149.0,376.0,0.0,3.2900000000000205
206,206,427,150.0,376.0,0.0,3.2900000000000205
207,207,428,151.0,376.0,0.0,3.2900000000000205
208,208,429,152.0,376.0,0.0,3.2900000000000205
209,209,430,153.0,376.0,0.0,3.2900000000000205
210,210,431,154.0,376.0,0.0,3.2900000000000205
211,211,432,155.0,376.0,0.0,3.2900000000000205
212,212,433,156.0,376.0,0.0,3.2900000000000205
213,213,434,157.0,376.0,0.0,3.2900000000000205
214,214,435,158.0,376.0,0.0,3.2900000000000205
215,215,436,159.0,376.0,0.0,3.2900000000000205
216,216,437,160.0,376.0,0.0,3.2900000000000205
217,217,438,161.0,376.0,0.0,3.2900000000000205
218,218,439,162.0,376.0,0.0,3.2900000000000205
219,219,440,163.0,376.0,0.0,3.2900000000000205
220,220,441,164.0,376.0,0.0,3.2900000000000205
221,221,442,165.0,376.0,0.0,3.2900000000000205
222,222,443,166.0,376.0,0.0,3.2900000000000205
223,223,444,167.0,376.0,0.0,3.2900000000000205
224,224,445,168.0,376.0,0.0,3.2900000000000205
225,225,446,169.0,376.0,0.0,3.2900000000000205
226,226,447,170.0,376.0,0.0,3.2900000000000205
227,227,448,171.0,376.0,0.0,3.2900000000000205
228,228,449,172.0,376.0,0.0,3.2900000000000205
229,229,450,173.0,376.0,0.0,3.2900000000000205
230,230,451,174.0,376.0,0.0,3.2900000000000205
231,231,452,175.0,376.0,0.0,3.2900000000000205
232,232,453,176.0,376.0,0.0,3.2900000000000205
233,233,454,177.0,376.0,0.0,3.2900000000000205
234,234,455,178.0,376.0,0.0,3.2900000000000205
235,235,456,179.0,376.0,0.0,3.2900000000000205
236,236,457,180.0,376.0,0.0,3.2900000000000205
237,237,458,181.0,376.0,0.0,3.2900000000000205
238,238,459,182.0,376.0,0.0,3.2900000000000205
239,239,460,183.0,376.0,0.0,3.2900000000000205
240,240,461,184.0,376.0,0.0,3.2900000000000205
241,241,462,185.0,376.0,0.0,3.2900000000000205
242,242,463,186.0,376.0,0.0,3.2900000000000205
243,243,464,187.0,376.0,0.0,3.2900000000000205
244,244,465,188.0,376.0,0.0,3.2900000000000205
245,245,466,189.0,376.0,0.0,3.2900000000000205
246,246,467,190.0,376.0,0.0,3.2900000000000205
247,247,468,191.0,376.0,0.0,3.2900000000000205
248,248,469,192.0,376.0,0.0,3.2900000000000205
249,249,470,193.0,376.0,0.0,3.2900000000000205
250,250,471,194.0,376.0,0.0,3.2900000000000205
251,251,472,195.0,376.0,0.0,3.2900000000000205
252,252,473,196.0,376.0,0.0,3.2900000000000205
253,253,474,197.0,376.0,0.0,3.2900000000000205
254,254,475,198.0,376.0,0.0,3.2900000000000205
255,255,476,199.0,376.0,0.0,3.2900000000000205
256,256,477,200.0,376.0,0.0,3.2900000000000205
257,257,478,201.0,376.0,0.0,3.2900000000000205
258,258,479,202.0,376.0,0.0,3.2900000000000205
259,259,480,203.0,376.0,0.0,3.2900000000000205
260,260,481,204.0,376.0,0.0,3.2900000000000205
261,261,482,205.0,376.0,0.0,3.2900000000000205
262,262,483,206.0,376.0,0.0,3.2900000000000205
263,263,484,207.0,376.0,0.0,3.2900000000000205
264,264,485,208.0,376.0,0.0,3.2900000000000205
265,265,486,209.0,376.0,0.0,3.2900000000000205
266,266,487,210.0,376.0,0.0,3.2900000000000205
267,267,488,211.0,376.0,0.0,3.2900000000000205
268,268,489,212.0,376.0,0.0,3.2900000000000205
269,269,490,213.0,376.0,0.0,3.2900000000000205
270,270,491,214.0,376.0,0.0,3.2900000000000205
271,271,492,215.0,376.0,0.0,3.2900000000000205
272,272,493,216.0,376.0,0.0,3.2900000000000205
273,273,494,217.0,376.0,0.0,3.2900000000000205
274,274,495,218.0,376.0,0.0,3.2900000000000205
275,275,496,219.0,376.0,0.0,3.2900000000000205
276,276,497,220.0,376.0,0.0,3.2900000000000205
277,277,498,221.0,376.0,0.0,3.2900000000000205
278,278,499,222.0,376.0,0.0,3.2900000000000205
279,279,500,223.0,376.0,0.0,3.2900000000000205
280,280,501,224.0,376.0,0.0,3.2900000000000205
281,281,502,225.0,376.0,0.0,3.2900000000000205
282,282,503,226.0,376.0,0.0,3.2900000000000205
283,283,504,227.0,376.0,0.0,3.2900000000000205
284,284,505,228.0,376.0,0.0,3.2900000000000205
285,285,506,229.0,376.0,0.0,3.2900000000000205
286,286,507,230.0,376.0,0.0,3.2900000000000205
287,287,508,231.0,376.0,0.0,3.2900000000000205
288,288,509,232.0,376.0,0.0,3.2900000000000205
289,289,510,233.0,376.0,0.0,3.2900000000000205
290,290,511,234.0,376.0,0.0,3.2900000000000205
291,291,512,235.0,376.0,0.0,3.2900000000000205
292,292,513,236.0,376.0,0.0,3.2900000000000205
293,293,514,237.0,376.0,0.0,3.2900000000000205
294,294,515,238.0,376.0,0.0,3.2900000000000205
295,295,516,239.0,376.0,0.0,3.2900000000000205
296,296,517,240.0,376.0,0.0,3.2900000000000205
297,297,518,241.0,376.0,0.0,3.2900000000000205
298,298,519,242.0,376.0,0.0,3.2900000000000205
299,299,520,243.0,376.0,0.0,3.2900000000000205
300,300,521,244.0,376.0,0.0,3.2900000000000205
301,301,522,245.0,376.0,0.0,3.2900000000000205
302,302,523,246.0,376.0,0.0,3.2900000000000205
303,303,524,247.0,376.0,0.0,3.2900000000000205
304,304,525,248.0,376.0,0.0,3.2900000000000205
305,305,526,249.0,376.0,0.0,3.2900000000000205
306,306,527,250.0,376.0,0.0,3.2900000000000205
307,307,528,251.0,376.0,0.0,3.2900000000000205
308,308,529,252.0,376.0,0.0,3.2900000000000205
309,309,530,253.0,376.0,0.0,3.2900000000000205
310,310,531,254.0,376.0,0.0,3.2900000000000205
311,311,532,255.0,376.0,0.0,3.2900000000000205
312,312,533,256.0,376.0,0.0,3.2900000000000205
313,313,534,257.0,376.0,0.0,3.2900000000000205
314,314,535,258.0,376.0,0.0,3.2900000000000205
315,315,536,259.0,376.0,0.0,3.2900000000000205
316,316,537,260.0,376.0,0.0,3.2900000000000205
317,317,538,261.0,376.0,0.0,3.2900000000000205
318,318,539,262.0,376.0,0.0,3.2900000000000205
319,319,540,263.0,376.0,0.0,3.2900000000000205
320,320,541,264.0,376.0,0.0,3.2900000000000205
321,321,542,265.0,376.0,0.0,3.2900000000000205
322,322,543,266.0,376.0,0.0,3.2900000000000205
323,323,544,267.0,376.0,0.0,3.2900000000000205
324,324,545,268.0,376.0,0.0,3.2900000000000205
325,325,546,269.0,376.0,0.0,3.2900000000000205
326,326,547,270.0,376.0,0.0,3.2900000000000205
327,327,548,271.0,376.0,0.0,3.2900000000000205
328,328,549,272.0,376.0,0.0,3.2900000000000205
329,329,550,273.0,376.0,0.0,3.2900000000000205
330,330,551,274.0,376.0,0.0,3.2900000000000205
331,331,552,275.0,376.0,0.0,3.2900000000000205
