ordem_entrada,indice_local,indice_contorno,x,y,dist_baseline,dist_baseline_ajustada,motivo
12,12,525,329.0,304.0,0.0,2.509999999999991,fora_do_top12
13,13,526,330.0,304.0,0.0,2.509999999999991,fora_do_top12
14,14,527,331.0,304.0,0.0,2.509999999999991,fora_do_top12
15,15,528,332.0,304.0,0.0,2.509999999999991,fora_do_top12
16,16,529,333.0,304.0,0.0,2.509999999999991,fora_do_top12
17,17,530,334.0,304.0,0.0,2.509999999999991,fora_do_top12
18,18,531,335.0,304.0,0.0,2.509999999999991,fora_do_top12
19,19,532,336.0,304.0,0.0,2.509999999999991,fora_do_top12
20,20,533,337.0,304.0,0.0,2.509999999999991,fora_do_top12
21,21,534,338.0,304.0,0.0,2.509999999999991,fora_do_top12
22,22,535,339.0,304.0,0.0,2.509999999999991,fora_do_top12
23,23,536,340.0,304.0,0.0,2.509999999999991,fora_do_top12
24,24,537,341.0,304.0,0.0,2.509999999999991,fora_do_top12
25,25,538,342.0,304.0,0.0,2.509999999999991,fora_do_top12
26,26,539,343.0,304.0,0.0,2.509999999999991,fora_do_top12
27,27,540,344.0,304.0,0.0,2.509999999999991,fora_do_top12
28,28,541,345.0,304.0,0.0,2.509999999999991,fora_do_top12
29,29,542,346.0,304.0,0.0,2.509999999999991,fora_do_top12
30,30,543,347.0,304.0,0.0,2.509999999999991,fora_do_top12
31,31,544,348.0,304.0,0.0,2.509999999999991,fora_do_top12
32,32,545,349.0,304.0,0.0,2.509999999999991,fora_do_top12
33,33,546,350.0,304.0,0.0,2.509999999999991,fora_do_top12
34,34,547,351.0,304.0,0.0,2.509999999999991,fora_do_top12
35,35,548,352.0,304.0,0.0,2.509999999999991,fora_do_top12
36,36,549,353.0,304.0,0.0,2.509999999999991,fora_do_top12
37,37,550,354.0,304.0,0.0,2.509999999999991,fora_do_top12
38,38,551,355.0,304.0,0.0,2.509999999999991,fora_do_top12
39,39,552,356.0,304.0,0.0,2.509999999999991,fora_do_top12
40,40,553,357.0,304.0,0.0,2.509999999999991,fora_do_top12
41,41,554,358.0,304.0,0.0,2.509999999999991,fora_do_top12
42,42,555,359.0,304.0,0.0,2.509999999999991,fora_do_top12
43,43,556,360.0,304.0,0.0,2.509999999999991,fora_do_top12
44,44,557,361.0,304.0,0.0,2.509999999999991,fora_do_top12
45,45,558,362.0,304.0,0.0,2.509999999999991,fora_do_top12
46,46,559,363.0,304.0,0.0,2.509999999999991,fora_do_top12
47,47,560,364.0,304.0,0.0,2.509999999999991,fora_do_top12
48,48,561,365.0,304.0,0.0,2.509999999999991,fora_do_top12
