ordem,index,x,y,x_pred,residuo,residuo_abs
0,194,140.0,138.0,180.0677895896099,-40.0677895896099,40.0677895896099
1,195,139.0,139.0,176.5592534085697,-37.5592534085697,37.5592534085697
2,196,138.0,140.0,173.11539195638716,-35.11539195638716,35.11539195638716
3,197,138.0,141.0,169.73620523306136,-31.736205233061355,31.736205233061355
4,198,137.0,142.0,166.4216932385932,-29.421693238593207,29.421693238593207
5,199,136.0,143.0,163.1718559729818,-27.171855972981803,27.171855972981803
6,200,135.0,144.0,159.98669343622805,-24.98669343622805,24.98669343622805
7,201,135.0,145.0,156.86620562833127,-21.866205628331272,21.866205628331272
8,202,134.0,146.0,153.8103925492917,-19.81039254929169,19.81039254929169
9,203,133.0,147.0,150.81925419910954,-17.819254199109537,17.819254199109537
10,204,132.0,148.0,147.89279057778435,-15.892790577784353,15.892790577784353
11,205,132.0,149.0,145.0310016853166,-13.031001685316596,13.031001685316596
