ordem,index,x,y,x_pred,residuo,residuo_abs
0,559,333.0,386.0,399.2687721291393,-66.26877212913928,66.26877212913928
1,560,334.0,386.0,399.2687721291393,-65.26877212913928,65.26877212913928
2,561,335.0,386.0,399.2687721291393,-64.26877212913928,64.26877212913928
3,562,336.0,386.0,399.2687721291393,-63.26877212913928,63.26877212913928
4,563,337.0,386.0,399.2687721291393,-62.26877212913928,62.26877212913928
5,564,338.0,386.0,399.2687721291393,-61.26877212913928,61.26877212913928
6,565,339.0,386.0,399.2687721291393,-60.26877212913928,60.26877212913928
7,566,340.0,386.0,399.2687721291393,-59.26877212913928,59.26877212913928
8,567,341.0,386.0,399.2687721291393,-58.26877212913928,58.26877212913928
9,568,342.0,386.0,399.2687721291393,-57.26877212913928,57.26877212913928
10,569,343.0,386.0,399.2687721291393,-56.26877212913928,56.26877212913928
11,570,344.0,386.0,399.2687721291393,-55.26877212913928,55.26877212913928
