ordem,index,x,y
0,221,83.0,200.0
1,222,83.0,201.0
2,223,83.0,202.0
3,224,82.0,203.0
4,225,82.0,204.0
5,226,82.0,205.0
6,227,82.0,206.0
7,228,82.0,207.0
8,229,81.0,208.0
9,230,81.0,209.0
10,231,81.0,210.0
11,232,81.0,211.0
12,233,81.0,212.0
13,234,80.0,213.0
14,235,80.0,214.0
15,236,80.0,215.0
16,237,80.0,216.0
17,238,80.0,217.0
18,239,79.0,218.0
19,240,79.0,219.0
20,241,79.0,220.0
21,242,79.0,221.0
22,243,79.0,222.0
23,244,79.0,223.0
24,245,79.0,224.0
25,246,79.0,225.0
26,247,78.0,226.0
27,248,78.0,227.0
28,249,78.0,228.0
29,250,78.0,229.0
30,251,78.0,230.0
31,252,78.0,231.0
32,253,78.0,232.0
33,254,78.0,233.0
34,255,77.0,234.0
35,256,77.0,235.0
36,257,77.0,236.0
37,258,77.0,237.0
38,259,77.0,238.0
39,260,77.0,239.0
40,261,77.0,240.0
41,262,77.0,241.0
42,263,77.0,242.0
43,264,77.0,243.0
44,265,77.0,244.0
45,266,77.0,245.0
46,267,77.0,246.0
47,268,77.0,247.0
48,269,77.0,248.0
49,270,77.0,249.0
50,271,77.0,250.0
51,272,77.0,251.0
52,273,77.0,252.0
53,274,77.0,253.0
54,275,77.0,254.0
55,276,77.0,255.0
56,277,77.0,256.0
57,278,77.0,257.0
58,279,77.0,258.0
59,280,77.0,259.0
60,281,77.0,260.0
61,282,77.0,261.0
62,283,77.0,262.0
63,284,77.0,263.0
64,285,77.0,264.0
65,286,77.0,265.0
66,287,78.0,266.0
67,288,78.0,267.0
68,289,78.0,268.0
69,290,78.0,269.0
70,291,78.0,270.0
71,292,78.0,271.0
72,293,78.0,272.0
73,294,78.0,273.0
74,295,78.0,274.0
75,296,79.0,275.0
76,297,79.0,276.0
77,298,79.0,277.0
78,299,79.0,278.0
79,300,79.0,279.0
80,301,79.0,280.0
81,302,79.0,281.0
82,303,79.0,282.0
83,304,80.0,283.0
84,305,80.0,284.0
85,306,80.0,285.0
86,307,80.0,286.0
87,308,80.0,287.0
88,309,81.0,288.0
89,310,81.0,289.0
90,311,81.0,290.0
91,312,81.0,291.0
92,313,82.0,292.0
93,314,82.0,293.0
94,315,82.0,294.0
95,316,82.0,295.0
96,317,82.0,296.0
97,318,83.0,297.0
98,319,83.0,298.0
99,320,83.0,299.0
100,321,83.0,300.0
101,322,84.0,301.0
102,323,84.0,302.0
103,324,84.0,303.0
104,325,84.0,304.0
105,326,85.0,305.0
106,327,85.0,306.0
107,328,85.0,307.0
108,329,86.0,308.0
109,330,86.0,309.0
110,331,86.0,310.0
111,332,86.0,311.0
112,333,87.0,312.0
113,334,87.0,313.0
114,335,87.0,314.0
115,336,88.0,315.0
116,337,88.0,316.0
117,338,88.0,317.0
118,339,89.0,318.0
119,340,89.0,319.0
120,341,89.0,320.0
121,342,90.0,321.0
122,343,90.0,322.0
123,344,91.0,323.0
124,345,91.0,324.0
125,346,91.0,325.0
126,347,92.0,326.0
127,348,92.0,327.0
128,349,92.0,328.0
129,350,93.0,329.0
130,351,93.0,330.0
131,352,94.0,331.0
132,353,94.0,332.0
133,354,95.0,333.0
134,355,95.0,334.0
135,356,96.0,335.0
136,357,96.0,336.0
137,358,97.0,337.0
138,359,97.0,338.0
139,360,98.0,339.0
140,361,98.0,340.0
141,362,99.0,341.0
142,363,99.0,342.0
143,364,100.0,343.0
144,365,100.0,344.0
145,366,101.0,345.0
146,367,101.0,346.0
147,368,102.0,347.0
148,369,102.0,348.0
149,370,103.0,349.0
150,371,103.0,350.0
151,372,104.0,351.0
152,373,105.0,352.0
153,374,105.0,353.0
154,375,106.0,354.0
155,376,107.0,355.0
156,377,107.0,356.0
157,378,108.0,357.0
158,379,108.0,358.0
159,380,109.0,359.0
160,381,110.0,360.0
161,382,110.0,361.0
162,383,111.0,362.0
163,384,112.0,363.0
164,385,112.0,364.0
165,386,113.0,365.0
166,387,114.0,366.0
167,388,114.0,367.0
168,389,115.0,368.0
169,390,116.0,369.0
170,391,117.0,370.0
171,392,117.0,371.0
172,393,118.0,372.0
173,394,119.0,373.0
174,395,120.0,374.0
175,396,120.0,375.0
176,397,120.0,376.0
177,398,121.0,376.0
178,399,122.0,376.0
179,400,123.0,376.0
180,401,124.0,376.0
181,402,125.0,376.0
182,403,126.0,376.0
183,404,127.0,376.0
184,405,128.0,376.0
185,406,129.0,376.0
186,407,130.0,376.0
187,408,131.0,376.0
188,409,132.0,376.0
189,410,133.0,376.0
